,lat,lng,Category
415,51.5156471,-0.1572443,1
416,51.5186801,-0.1354055,1
417,48.8691984,2.2979052,3
418,48.8752553,2.286653,3
419,48.8715079,2.3122259,3
420,48.8703672,2.2938868,3
421,48.8335233,2.3191194,3
422,51.5289499,-0.1232979,1
423,51.4981225,-0.1799693,1
424,51.5189077,-0.1421957,1
425,51.509963,-0.129797,1
426,48.8687512,2.3001692,3
427,51.5151247,-0.1600656,1
428,48.8629329,2.3723823,3
429,48.8712877,2.3191903,3
430,51.5044972,-0.0855562,1
431,48.849147,2.3471935,3
432,48.855263,2.3305901,3
433,48.8645647,2.2821827,3
434,51.4938468,-0.1917582,1
435,51.5090558,-0.1421661,1
436,48.8740463,2.300196,3
437,48.8430891,2.4049867,3
438,48.869143,2.3006526,3
439,51.4978466,-0.164156,1
440,48.8450894,2.3209503,3
441,48.8710402,2.3248014,3
442,51.4892447,-0.1803196,1
443,48.8682978,2.3268027,3
444,48.8547329,2.3395277,3
445,48.8694755,2.3046954,3
446,48.8354314,2.321142,3
447,51.5373904,-0.0023367,1
448,51.5273442,-0.0796152,1
449,51.511879,-0.118552,1
450,51.5197933,-0.1241844,1
451,51.4920287,-0.1917801,1
452,48.8920485,2.3023791,3
453,51.4703604,-0.1779869,1
454,51.5162883,-0.1721078,1
455,48.8535639,2.3360169,3
456,48.8814425,2.3235592,3
457,48.8825781,2.3334805,3
458,48.8716831,2.3123759,3
459,48.8502052,2.289043,3
460,51.521148,-0.171346,1
461,51.490724,-0.143868,1
462,48.8593152,2.3104179,3
463,51.5076899,-0.1471358,1
464,51.4919083,-0.1684398,1
465,48.8613055,2.2862823,3
466,48.872174,2.328075,3
467,48.8737043,2.3061477,3
468,48.8651994,2.3045076,3
469,48.8794682,2.3334957,3
470,51.5055381,-0.1396885,1
471,51.5146025,-0.1481978,1
472,51.4815995,-0.1481053,1
473,51.5126488,-0.1803795,1
474,48.8268251,2.2912033,3
475,51.5149583,-0.0823869,1
476,48.879314,2.3560185,3
477,48.8632723,2.352691,3
478,48.8811741,2.2948337,3
479,48.8777895,2.2872498,3
480,48.8708863,2.3382128,3
481,51.5743549,-0.0977567,1
482,48.8547161,2.306642,3
483,48.8756359,2.3004967,3
484,51.4911924,-0.1449474,1
485,51.522143,-0.153385,1
486,48.8684243,2.3036244,3
487,51.5110993,-0.1208673,1
488,48.8719889,2.3492913,3
489,48.8691758,2.3205807,3
490,51.4967399,-0.2064723,1
491,51.5196124,-0.1239628,1
492,51.5139692,-0.1828202,1
493,51.5226361,-0.1602871,1
494,48.8683133,2.3330851,3
495,48.8772093,2.2968266,3
496,51.4981471,-0.1436492,1
497,51.5101462,-0.1315061,1
498,51.4935083,-0.1834346,1
499,48.827388,2.305478,3
500,48.8553117,2.3254628,3
501,51.5139315,-0.1219893,1
502,51.514573,-0.15666,1
503,51.5210117,-0.2628618,1
504,51.5139805,-0.1337948,1
505,48.8759461,2.3270955,3
506,48.8742767,2.3426276,3
507,48.8648656,2.3295756,3
508,48.8694695,2.3208564,3
509,48.8723844,2.3088663,3
510,48.8528427,2.3422256,3
511,48.8749511,2.3259532,3
513,48.8630829,2.3378592,3
514,48.8730552,2.3540112,3
515,48.8654532,2.3295231,3
516,48.8745879,2.3188143,3
517,48.8675674,2.3539896,3
518,48.8743885,2.2980915,3
519,51.5172825,-0.0812451,1
520,51.5011704,-0.0232607,1
521,48.8585626,2.3299138,3
522,48.8381079,2.318669,3
523,48.8346811,2.3255098,3
524,48.8687804,2.3610196,3
525,51.510237,-0.0764428,1
526,51.4937409,-0.244896,1
527,51.5125035,-0.1477438,1
528,51.5126758,-0.1867828,1
529,51.4986732,-0.1376867,1
530,48.8686434,2.2984054,3
531,48.8683593,2.3002117,3
532,48.8491801,2.3423357,3
533,51.4981471,-0.1436492,1
534,51.515755,-0.1603335,1
535,51.4958184,-0.1813958,1
536,48.8799239,2.3288332,3
537,48.8488044,2.3469889,3
538,48.8800565,2.3342353,3
539,51.531979,-0.061598,1
540,51.5206309,-0.0915341,1
541,48.8644967,2.3405415,3
542,48.8740668,2.3502172,3
543,51.5553678,-0.2864945,1
544,48.8471891,2.3260138,3
545,48.8732068,2.3239015,3
546,48.8496819,2.3402806,3
547,51.4202661,-0.211268,1
548,51.510574,-0.1509951,1
549,48.8570275,2.3170282,3
550,48.8488608,2.3315257,3
551,51.5237209,-0.0806178,1
552,51.5063709,-0.1515359,1
553,51.5115509,-0.0714919,1
554,48.8777621,2.293177,3
555,51.5104696,-0.1265824,1
556,48.8710709,2.3013119,3
557,51.5050165,-0.1049831,1
558,48.8760884,2.3456465,3
559,51.5066991,-0.0280208,1
560,51.5180207,-0.1500567,1
561,48.8607764,2.3427564,3
562,51.5231564,-0.1035134,1
563,51.5161286,-0.0624458,1
564,48.8691399,2.2981024,3
565,51.5182768,-0.1583511,1
566,48.8753359,2.3414617,3
567,48.8691325,2.3021659,3
568,51.5127453,-0.1926437,1
569,48.8565629,2.3273623,3
570,48.8662695,2.3668616,3
571,48.8816306,2.2992146,3
572,48.8583127,2.2795075,3
573,51.5154006,-0.0572364,1
574,51.5060237,-0.151078,1
575,51.5065578,-0.004514,1
576,51.504575,-0.082675,1
577,51.5611271,-0.2787261,1
578,48.8497618,2.3392336,3
579,48.8801757,2.2859534,3
580,48.8722019,2.3030866,3
581,48.8688155,2.3305236,3
582,48.8636049,2.3688352,3
583,48.8729639,2.3444899,3
584,48.8701247,2.311141,3
585,48.8589516,2.3670407,3
586,48.8684776,2.3298238,3
587,48.8758981,2.3590504,3
588,48.8547869,2.3084819,3
589,48.870808,2.3372737,3
590,48.8645309,2.3315532,3
591,51.5140208,-0.0854919,1
592,51.5174853,-0.1372109,1
593,51.5159214,-0.1598794,1
594,51.5124496,-0.1795215,1
595,48.866242,2.3373169,3
596,48.8481917,2.3490316,3
597,48.8769204,2.3069132,3
598,51.5131074,-0.1778707,1
599,48.8659899,2.3674149,3
600,48.8699731,2.2909401,3
601,48.8966167,2.3434843,3
602,51.4572991,-0.2055425,1
603,51.5123968,-0.186124,1
604,51.5208155,-0.0915319,1
605,48.8691409,2.3031503,3
606,48.8364204,2.3603332,3
607,48.8303023,2.2842872,3
608,51.5366053,-0.1919832,1
609,51.5054832,-0.0951196,1
610,51.5074007,-0.1524593,1
611,48.8571207,2.3805581,3
612,51.5360906,-0.1048176,1
613,51.4963008,-0.1796853,1
614,48.8689468,2.3026559,3
615,48.8520377,2.3557092,3
616,51.5152892,-0.160898,1
617,51.5045326,-0.2191174,1
618,48.8673099,2.2856528,3
619,51.5153672,-0.1783271,1
620,48.8819068,2.3410005,3
621,48.8447938,2.3524462,3
622,51.5140329,-0.1320651,1
623,48.8648997,2.3469433,3
624,51.516843,-0.1495574,1
625,51.5039399,-0.2244232,1
626,51.5133832,-0.1926617,1
627,48.8680055,2.3260075,3
628,48.8566336,2.2852607,3
629,48.865467,2.3038811,3
630,48.8729666,2.2926226,3
631,48.8370334,2.372322,3
632,51.5143447,-0.1318157,1
633,51.4982412,-0.1134715,1
634,51.5241373,-0.0786983,1
635,48.8732785,2.3004174,3
636,48.8457587,2.3243071,3
637,48.8750119,2.3416769,3
638,48.8714152,2.3239679,3
639,48.8854538,2.3335809,3
640,48.870994,2.3235329,3
641,48.8396395,2.2663056,3
642,48.8759855,2.293938,3
643,48.8716017,2.3349768,3
644,48.8820046,2.2818538,3
645,48.883631,2.3257643,3
646,48.8797513,2.2919634,3
647,48.8382542,2.2903494,3
648,48.8498439,2.3244253,3
649,45.488764,9.183057,4
650,51.5076044,-0.132266,1
651,51.5017224,-0.1846243,1
652,51.5322508,-0.1095714,1
653,48.8741002,2.3426357,3
654,51.4956883,-0.1827878,1
655,51.5160988,-0.1181749,1
656,48.8500283,2.2834126,3
657,48.8465653,2.4102405,3
658,48.8735135,2.3217457,3
659,48.8599998,2.3087425,3
660,51.4924184,-0.2784701,1
661,51.527262,-0.282992,1
662,48.8672474,2.33738,3
663,51.5634756,-0.2042758,1
664,48.8706373,2.2982095,3
665,48.850448,2.2928845,3
666,48.849574,2.3798518,3
667,48.8612535,2.3426256,3
668,51.5121957,-0.1318384,1
669,48.8820838,2.3315849,3
670,48.8534026,2.3299043,3
671,48.888539,2.3498459,3
672,51.5158643,-0.1200625,1
673,51.5022081,-0.1599428,1
674,48.8823141,2.3316688,3
675,51.4953691,-0.1818966,1
676,48.8836255,2.3340538,3
677,51.5100916,-0.1359431,1
678,48.8330649,2.2879617,3
679,51.4942654,-0.1366026,1
680,51.4948416,-0.1772056,1
681,48.8550298,2.3332104,3
682,51.5061587,-0.1402803,1
683,51.5160484,-0.0880181,1
684,51.5021027,-0.187901,1
685,48.8732788,2.3466576,3
686,48.8708419,2.3605864,3
687,48.8482842,2.3657251,3
688,51.5127964,-0.0847973,1
689,51.5196913,-0.1254243,1
690,51.5108412,-0.0780581,1
691,48.8501522,2.3392782,3
692,48.8671391,2.3038447,3
693,48.8746066,2.3167195,3
694,48.8723438,2.3033378,3
695,48.8515198,2.3486511,3
696,48.8772493,2.3543043,3
697,48.863828,2.3519345,3
698,48.8503276,2.2982022,3
699,48.8701887,2.2997281,3
700,48.886687,2.3449332,3
701,48.8808779,2.2989756,3
702,51.5077198,0.0229805,1
703,48.8711365,2.3050482,3
704,51.5052587,-0.099176,1
705,48.8536854,2.3805796,3
706,51.4944319,-0.1363756,1
707,48.8605219,2.3680239,3
708,51.5220522,-0.132414,1
709,51.5157316,-0.1802179,1
710,51.5166887,-0.1706147,1
711,48.8719212,2.2971404,3
712,48.8416787,2.3022862,3
713,48.8382916,2.3230188,3
714,48.8595985,2.3088076,3
715,51.4947754,-0.177789,1
716,48.8506499,2.2750873,3
717,51.5188,-0.153839,1
718,51.5151149,-0.1743857,1
719,51.5052188,-0.088166,1
720,48.8605031,2.3006606,3
721,51.513055,-0.152257,1
722,48.8321231,2.3536172,3
723,48.8546989,2.3691899,3
724,51.506935,-0.126012,1
725,51.506935,-0.126012,1
726,51.5095259,-0.1967234,1
727,48.8607299,2.3465326,3
728,48.8668228,2.3257729,3
729,48.8668048,2.3039465,3
730,48.8698184,2.3208729,3
731,48.8597024,2.3239701,3
732,48.8573706,2.3314669,3
733,48.8728492,2.3073663,3
734,48.8657687,2.3090386,3
735,48.866676,2.3089908,3
736,48.8785454,2.3384866,3
737,51.4901051,-0.1381355,1
738,51.5265353,-0.1361682,1
739,48.8794646,2.2849548,3
740,51.5255136,-0.082927,1
741,51.5077459,-0.1378733,1
742,51.5460628,-0.0700817,1
743,51.5195857,-0.1584803,1
744,48.8647019,2.2886425,3
745,51.4926269,-0.2288598,1
746,48.8636168,2.3607998,3
747,48.8384558,2.3805885,3
748,51.522672,-0.1036841,1
749,51.509841,-0.1552193,1
750,48.8427364,2.3672171,3
751,48.8622723,2.3495707,3
752,48.8663089,2.289609,3
753,51.4992789,-0.2090733,1
754,51.4933372,-0.1788931,1
755,48.8776756,2.3493159,3
756,48.8738672,2.3005894,3
757,51.4910062,-0.1717691,1
758,51.517608,-0.1276253,1
759,48.8519208,2.338878,3
760,51.4940285,-0.1910497,1
761,48.8794223,2.2957628,3
762,48.8796596,2.3209155,3
763,48.8696173,2.3346428,3
764,48.8795947,2.3280695,3
765,48.8726814,2.3020866,3
766,48.8497553,2.3467616,3
767,48.8816073,2.3371648,3
768,48.8538608,2.3429487,3
769,48.853299,2.337993,3
770,48.8454447,2.3242814,3
771,48.8438998,2.3294858,3
772,48.849758,2.3095213,3
773,51.5112451,-0.1808938,1
774,48.846837,2.3258066,3
775,48.8474426,2.3223783,3
776,48.8724945,2.3091549,3
777,51.5201065,-0.1221393,1
778,48.8603599,2.3230778,3
779,48.8710895,2.3393461,3
780,48.8803479,2.2858242,3
781,51.4942305,-0.1851141,1
782,51.5179725,-0.1280495,1
783,48.874853,2.3245798,3
784,48.8672694,2.2878666,3
785,48.8252307,2.3569005,3
786,48.8694768,2.3515065,3
787,48.8837472,2.3186342,3
788,51.5298597,-0.1444623,1
789,52.3544507,4.8875036,3
790,51.5131979,-0.1174504,1
791,52.3466449,4.8310984,3
792,48.2264063,16.3600628,4
793,45.4521067,9.1758135,4
794,48.1996129,16.3773546,4
795,48.2105243,16.3683592,4
796,48.2062268,16.3833767,4
797,41.378751,2.17873,2
798,52.3663466,4.8985764,3
799,41.4031654,2.1231637,2
800,52.3607413,4.8695315,3
801,48.2040859,16.3725046,4
802,48.204183,16.3726664,4
803,52.3504558,4.8770194,3
804,52.350396,4.8756404,3
805,52.351381,4.872723,3
806,52.3486098,4.8844292,3
807,41.3846637,2.1740902,2
808,52.3312406,4.8774466,3
809,41.3873478,2.1603987,2
810,41.3880549,2.1599602,2
811,52.3856494,4.834443,3
812,48.2134246,16.3831309,4
813,48.2083518,16.354532,4
814,41.3919114,2.1765438,2
815,41.393227,2.1927427,2
816,41.4109715,2.2186535,2
817,41.4038774,2.1911894,2
818,41.4036219,2.1902808,2
819,41.3899609,2.135684,2
820,41.3944029,2.150194,2
821,41.3941338,2.1489569,2
822,41.388682,2.1316368,2
823,41.3933943,2.1461315,2
824,41.3835246,2.1096141,2
825,41.3860183,2.19473,2
826,41.3837583,2.1846933,2
827,41.4110056,2.1866009,2
828,41.3747031,2.1707106,2
829,41.39367,2.1115418,2
830,41.3725246,2.1540788,2
831,41.3795572,2.1425457,2
832,41.3810311,2.1455516,2
833,41.3815028,2.1449138,2
834,41.3844072,2.1514584,2
835,41.391058,2.141706,2
836,41.4106944,2.136294,2
837,41.3849613,2.1756666,2
838,41.3935591,2.1993915,2
839,41.375237,2.1684058,2
840,41.3807517,2.1772425,2
842,41.408641,2.1478143,2
